Row.names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,mgi_symbol
ENSMUSG00000000001,1650.055421,-0.018340449,0.115644557,-0.158593271,0.873989331,0.93247691,Gnai3
ENSMUSG00000000028,23.0087107,-0.23613249,0.307538523,-0.767814347,0.442597489,0.638283188,Cdc45
ENSMUSG00000000031,63.08261516,2.33862864,0.584649382,4.000053212,6.33E-05,0.001248207,H19
ENSMUSG00000000049,34787.4002,-0.708494905,0.219747209,-3.224136075,0.001263533,0.011319104,Apoh
ENSMUSG00000000056,485.8414337,-0.169537192,0.165311061,-1.025564724,0.305096802,0.51063463,Narf
ENSMUSG00000000058,142.8401443,0.416566614,0.223029624,1.867763601,0.061795029,0.179301875,Cav2
ENSMUSG00000000078,439.0882711,0.279835109,0.156199337,1.791525582,0.073208993,0.200957942,Klf6
ENSMUSG00000000085,112.9875082,0.110808374,0.09923238,1.116655416,0.264141688,0.463799924,Scmh1
ENSMUSG00000000088,1130.227471,0.292874943,0.114821077,2.550707164,0.010750461,0.052575735,Cox5a
ENSMUSG00000000093,48.05657674,0.939326646,0.214931641,4.370350694,1.24E-05,0.000360114,Tbx2
ENSMUSG00000000120,80.96026427,0.825563814,0.286420654,2.882347349,0.003947243,0.026033076,Ngfr
ENSMUSG00000000126,8.677538494,0.362076037,0.424312081,0.853324835,0.393479191,0.595177151,Wnt9a
ENSMUSG00000000127,124.8758899,-0.069270063,0.132086437,-0.524429794,0.599979638,0.762761615,Fer
ENSMUSG00000000131,499.7186557,0.09900794,0.078705634,1.257952385,0.208408977,0.399609097,Xpo6
ENSMUSG00000000134,370.7051151,-0.219400363,0.09985789,-2.197125956,0.028011452,0.103082223,Tfe3
ENSMUSG00000000142,55.81018673,0.273335164,0.201684314,1.355262383,0.175333976,0.357245101,Axin2
ENSMUSG00000000148,151.7354598,0.176820804,0.104753756,1.687966248,0.091417708,0.233763193,Brat1
ENSMUSG00000000149,1623.507363,0.595086331,0.11577407,5.140065741,2.75E-07,1.85E-05,Gna12
ENSMUSG00000000154,2070.353889,-0.251831426,0.145837434,-1.726795507,0.084204396,0.220783949,Slc22a18
ENSMUSG00000000157,3.016766135,0.925141719,0.561887745,1.646488516,0.099663223,0.247325441,Itgb2l
ENSMUSG00000000159,201.6834999,-0.178786034,0.092495662,-1.932912642,0.05324696,0.161310519,Igsf5
ENSMUSG00000000167,7.863230352,-0.450623506,0.338863887,-1.329806813,0.183581931,0.367786503,Pih1d2
ENSMUSG00000000168,1014.960776,0.273935922,0.133630116,2.049956475,0.040368678,0.133120858,Dlat
ENSMUSG00000000171,3395.355692,-0.584438078,0.160730191,-3.636143738,0.00027675,0.003741865,Sdhd
ENSMUSG00000000184,268.6945212,0.927020828,0.194382255,4.769060988,1.85E-06,8.31E-05,Ccnd2
ENSMUSG00000000194,401.0829327,-0.162848546,0.070480986,-2.310531626,0.02085874,0.084102367,Gpr107
ENSMUSG00000000197,2.380700758,1.281315791,0.820678279,1.561288783,0.118455629,0.277149798,Nalcn
ENSMUSG00000000216,1.503706506,0.725506164,0.971974469,0.746425124,0.455410647,0.649545002,Scnn1g
ENSMUSG00000000244,17.47810005,0.757675539,0.255847862,2.961430013,0.003062141,0.021597233,Tspan32
ENSMUSG00000000247,53.3059623,0.643990454,0.138815627,4.639178365,3.50E-06,0.000132502,Lhx2
ENSMUSG00000000248,0.400947381,-1.519574808,1.863163415,-0.815588582,0.414735482,NA,Clec2g
ENSMUSG00000000253,20.07128045,0.108158924,0.285193638,0.379247325,0.704504212,0.833042712,Gmpr
ENSMUSG00000000266,122.1646976,0.133228907,0.17260361,0.771877869,0.440186766,0.635971127,Mid2
ENSMUSG00000000275,1031.917945,-0.296577163,0.160303843,-1.850093901,0.064300017,0.184179257,Trim25
ENSMUSG00000000276,21.22992457,0.267610343,0.246411969,1.086028186,0.277466522,0.478746892,Dgke
ENSMUSG00000000278,847.8310933,0.013119539,0.138875052,0.094470092,0.924735739,0.960629087,Scpep1
ENSMUSG00000000282,154.6319851,0.373569702,0.150795505,2.477326508,0.013237075,0.06073132,Mnt
ENSMUSG00000000290,424.4512273,0.050058464,0.157598564,0.317632741,0.750763535,0.860704294,Itgb2
ENSMUSG00000000295,19.0505993,-0.178233438,0.230280873,-0.773982817,0.438940953,0.634936063,Hddc2
ENSMUSG00000000296,95.20708074,-0.449977139,0.186246006,-2.416036446,0.015690491,0.068447186,Tpd52l1
ENSMUSG00000000301,4580.481646,-0.454016947,0.182677422,-2.485347902,0.012942488,0.059755474,Pemt
ENSMUSG00000000303,626.059562,0.39937891,0.240879092,1.658005712,0.097316313,0.243782526,Cdh1
ENSMUSG00000000305,33.1128048,-0.660373562,0.374597349,-1.762889043,0.077919205,0.209327575,Cdh4
ENSMUSG00000000308,2.151391086,0.280924178,0.829396799,0.338709021,0.734828944,0.851713067,Ckmt1
ENSMUSG00000000317,75.15555172,-0.175354418,0.284713887,-0.615896962,0.537962526,0.717207482,Bcl6b
ENSMUSG00000000318,8.415489828,-0.132436428,0.304516431,-0.43490733,0.663629694,0.806709364,Clec10a
ENSMUSG00000000320,10.15077466,0.350220968,0.350804706,0.998336001,0.318116456,0.524269013,Alox12
ENSMUSG00000000326,10095.10883,0.005813733,0.129645693,0.044843244,0.964232256,0.981304412,Comt
ENSMUSG00000000339,84.92397769,0.235667016,0.109456821,2.153059192,0.031314027,0.111202801,Rtca
ENSMUSG00000000340,749.6787269,-0.608570661,0.121852382,-4.994327151,5.90E-07,3.38E-05,Dbt
ENSMUSG00000000346,1742.90765,-0.325921316,0.0889888,-3.662498164,0.000249768,0.003446208,Dazap2
ENSMUSG00000000355,337.5389998,-0.502402721,0.133626426,-3.759755725,0.000170079,0.002596801,Mcts1
ENSMUSG00000000359,11.98501274,0.587482055,0.269802782,2.17744995,0.029447012,0.10672641,Rem1
ENSMUSG00000000374,310.9275398,0.009276408,0.109740596,0.084530323,0.932634795,0.965104336,Trappc10
ENSMUSG00000000378,335.4111266,0.104436992,0.09730333,1.073313644,0.283130416,0.485065813,Ccm2
ENSMUSG00000000384,491.0600963,0.029043469,0.103845064,0.279680786,0.779722421,0.878326174,Tbrg4
ENSMUSG00000000385,74.13927335,-0.450410686,0.164226557,-2.742617851,0.006095157,0.035373247,Tmprss2
ENSMUSG00000000386,8.313777731,0.550031745,0.345759978,1.590790663,0.111656695,0.266784837,Mx1
ENSMUSG00000000399,2148.139758,-0.23279945,0.1244844,-1.870109419,0.061468625,0.178695777,Ndufa9
ENSMUSG00000000402,1.156145753,-0.723641922,0.932901988,-0.77568912,0.437932565,0.634168494,Egfl6
ENSMUSG00000000409,30.07925866,0.826139179,0.329545493,2.506904801,0.012179351,0.05723871,Lck
ENSMUSG00000000416,7.341881605,0.762498392,0.56540193,1.348595313,0.177466987,0.359768446,Cttnbp2
ENSMUSG00000000420,964.1464818,-0.257620881,0.080914245,-3.183875498,0.001453175,0.012617324,Galnt1
ENSMUSG00000000439,162.3876766,-0.053947081,0.10048993,-0.536840663,0.591377681,0.756256067,Mkrn2
ENSMUSG00000000440,413.9127854,-0.136499528,0.127126441,-1.073730427,0.28294352,0.484789559,Pparg
ENSMUSG00000000441,430.2687278,-0.183539707,0.103448989,-1.774204937,0.076029258,0.206302761,Raf1
ENSMUSG00000000486,31.74760026,0.698988331,0.362283157,1.929397813,0.053681495,0.162298084,Septin1
ENSMUSG00000000489,71.8312377,0.924278945,0.21889823,4.22241397,2.42E-05,0.000605114,Pdgfb
ENSMUSG00000000530,127.1135878,0.256878129,0.174253395,1.47416427,0.140437367,0.310219366,Acvrl1
ENSMUSG00000000531,14.91065104,0.588791477,0.245130782,2.401948346,0.016308011,0.070403067,Tamalin
ENSMUSG00000000532,199.4821461,0.04277131,0.103464828,0.413389854,0.679321007,0.816465144,Acvr1b
ENSMUSG00000000538,415.370091,-0.100334971,0.12075112,-0.830923728,0.406016718,0.606839709,Tom1l2
ENSMUSG00000000544,1.134943611,0.052975092,2.732511503,0.01938696,0.984532413,0.992015766,Gpa33
ENSMUSG00000000552,263.0685472,0.499477189,0.191175432,2.612664108,0.008983955,0.046423493,Zfp385a
ENSMUSG00000000555,362.6441684,-0.099808491,0.141992683,-0.702912919,0.48211002,0.671790902,Itga5
ENSMUSG00000000561,210.0627463,-0.421557402,0.115114395,-3.66207372,0.000250182,0.003446747,Wdr77
ENSMUSG00000000562,2.479033845,1.840429696,0.711875436,2.585325469,0.009728711,0.049103365,Adora3
ENSMUSG00000000563,3091.682034,-0.358017074,0.114744043,-3.12013648,0.001807673,0.014689866,Atp5pb
ENSMUSG00000000567,107.3568056,1.223379226,0.241535318,5.065011757,4.08E-07,2.56E-05,Sox9
ENSMUSG00000000568,455.0511895,0.177692147,0.110686964,1.605357495,0.108415153,0.261519043,Hnrnpd
ENSMUSG00000000581,551.4566323,-0.094180161,0.080847196,-1.164915623,0.244053149,0.440727297,C1d
ENSMUSG00000000594,1710.09085,-0.0728729,0.075403047,-0.966445029,0.333821541,0.539045066,Gm2a
ENSMUSG00000000600,103.2306548,0.10909398,0.160078459,0.68150319,0.495553149,0.683143848,Krit1
ENSMUSG00000000605,1195.110329,-0.231501084,0.093302969,-2.481175962,0.013094971,0.060224123,Clcn4
ENSMUSG00000000627,1.458000948,-0.379252205,0.749663576,-0.505896534,0.612929286,0.771590832,Sema4f
ENSMUSG00000000628,97.42578143,0.965669484,0.321511509,3.00353007,0.002668672,0.019633824,Hk2
ENSMUSG00000000631,1902.538601,0.15832489,0.114915684,1.377748321,0.168281007,0.348602625,Myo18a
ENSMUSG00000000673,5894.875027,-0.473889187,0.201365747,-2.353375358,0.018603844,0.077558415,Haao
ENSMUSG00000000682,294.2903185,0.001897846,0.220899869,0.008591429,0.993145115,0.995908156,Cd52
ENSMUSG00000000686,392.5706179,0.378908885,0.171803154,2.205482712,0.02742024,0.101626935,Abhd15
ENSMUSG00000000693,59.35820597,0.204120018,0.193336658,1.055775038,0.291071005,0.494715204,Loxl3
ENSMUSG00000000708,890.6353376,0.049105545,0.138062065,0.35567732,0.722082232,0.844238161,Kat2b
ENSMUSG00000000711,635.7644307,0.077227876,0.084569388,0.913189496,0.361142887,0.565701737,Rab5b
ENSMUSG00000000732,19.43678608,0.170365332,0.272238214,0.625795069,0.531449366,0.712039688,Icosl
ENSMUSG00000000738,762.917905,-0.074528692,0.071792411,-1.03811378,0.299217087,0.50412705,Spg7
ENSMUSG00000000739,28.13331328,-0.123793739,0.398087272,-0.310971356,0.755822397,0.864123568,Sult5a1
ENSMUSG00000000740,1106.341311,0.757078734,0.114673685,6.60202675,4.06E-11,1.10E-08,Rpl13
ENSMUSG00000000743,971.2659256,0.105364747,0.082837865,1.271939432,0.20339464,0.393668389,Chmp1a
ENSMUSG00000000751,595.9994459,-0.021065984,0.094679857,-0.222496995,0.823927013,0.905773432,Rpa1
ENSMUSG00000000753,9543.480719,-0.510168705,0.19670694,-2.59354706,0.009499154,0.048344913,Serpinf1
ENSMUSG00000000759,72.59126632,-0.0844165,0.144006465,-0.586199375,0.557741542,0.731263342,Tubgcp3
ENSMUSG00000000776,67.462788,0.077572374,0.154726844,0.50135046,0.616124498,0.773871039,Polr3d
ENSMUSG00000000782,76.14255076,0.519801269,0.152513545,3.408230203,0.000653857,0.006994407,Tcf7
ENSMUSG00000000787,2109.651991,-0.411038268,0.173327442,-2.371455229,0.017718193,0.074789925,Ddx3x
ENSMUSG00000000791,7.982751449,0.411022221,0.367754848,1.117652761,0.263715325,0.463490238,Il12rb1
ENSMUSG00000000794,3.310037906,0.971009762,0.626082014,1.550930613,0.120918313,0.281021543,Kcnn3
ENSMUSG00000000804,321.3997691,0.06154268,0.159130687,0.386743003,0.698946477,0.829398349,Usp32
ENSMUSG00000000811,89.54981313,-0.167008682,0.171168835,-0.975695616,0.329215325,0.535158933,Txnrd3
ENSMUSG00000000817,2.543631867,-0.615917889,0.609112003,-1.011173457,0.311933418,0.517708232,Fasl
ENSMUSG00000000823,131.1829992,0.343310268,0.187915115,1.826943343,0.067708289,0.190563143,Zfp512b
ENSMUSG00000000826,1068.885995,-0.125470379,0.06697142,-1.873491382,0.061000562,0.177827362,Dnajc5
ENSMUSG00000000827,457.4636229,-0.284085062,0.101107563,-2.809731066,0.004958291,0.03074803,Tpd52l2
ENSMUSG00000000838,223.172601,0.228013986,0.207845225,1.097037401,0.272625043,0.473635897,Fmr1
ENSMUSG00000000861,8.056407125,1.915257549,0.579394412,3.305619642,0.000947666,0.009167241,Bcl11a
ENSMUSG00000000869,3.228630154,-0.861316727,0.484676061,-1.77709773,0.075552162,0.205668851,Il4
ENSMUSG00000000876,1018.381262,-0.417750579,0.161833001,-2.581368311,0.009840953,0.049456746,Pxmp4
ENSMUSG00000000881,212.436967,-0.307727991,0.114537045,-2.686711457,0.007215926,0.039592287,Dlg3
ENSMUSG00000000884,23.58367485,0.216867502,0.204017414,1.06298525,0.287788641,0.490687261,Gnb1l
ENSMUSG00000000901,19.56282632,0.907642624,0.276160342,3.286650854,0.001013865,0.009621599,Mmp11
ENSMUSG00000000902,242.4402183,0.142988932,0.085345595,1.675410809,0.093853657,0.238219663,Smarcb1
ENSMUSG00000000903,7.875388963,-0.680147645,0.699697983,-0.97205889,0.331021252,0.536709874,Vpreb3
ENSMUSG00000000915,322.5503658,0.239626895,0.146939741,1.630783426,0.102936026,0.253082305,Hip1r
ENSMUSG00000000916,78.30748841,0.302200886,0.12945881,2.334340048,0.019577923,0.080395808,Nsun5
ENSMUSG00000000934,256.6719724,0.165996478,0.116443025,1.425559653,0.153995489,0.329502235,Top1mt
